"pair","diff_dispersion","CI_lower","CI_upper","p_adj","sig"
"A2-A1",0.0678,-0.011,0.1466,0.1638,"ns"
"B1-A1",-0.0624,-0.1394,0.0146,0.2357,"ns"
"B2a-A1",-0.0445,-0.1215,0.0326,0.7274,"ns"
"B2b-A1",-0.0646,-0.1369,0.0077,0.1271,"ns"
"C1a-A1",-0.0824,-0.1622,-0.0025,0.0369,"*"
"C1b1-A1",-0.008,-0.092,0.076,1,"ns"
"C1b2-A1",-0.0176,-0.0932,0.058,0.9996,"ns"
"C2a-A1",-0.0375,-0.1199,0.0449,0.9225,"ns"
"C2b1-A1",-0.0336,-0.116,0.0488,0.9621,"ns"
"C2b2-A1",-0.0319,-0.1032,0.0394,0.9306,"ns"
"B1-A2",-0.1302,-0.1964,-0.064,0,"***"
"B2a-A2",-0.1123,-0.1785,-0.0461,0,"***"
"B2b-A2",-0.1324,-0.193,-0.0718,0,"***"
"C1a-A2",-0.1502,-0.2196,-0.0807,0,"***"
"C1b1-A2",-0.0758,-0.15,-0.0017,0.0404,"*"
"C1b2-A2",-0.0854,-0.15,-0.0209,0.0013,"**"
"C2a-A2",-0.1054,-0.1777,-0.033,2e-04,"***"
"C2b1-A2",-0.1014,-0.1738,-0.029,5e-04,"***"
"C2b2-A2",-0.0997,-0.1592,-0.0403,0,"***"
"B2a-B1",0.0179,-0.0462,0.082,0.9979,"ns"
"B2b-B1",-0.0022,-0.0605,0.0561,1,"ns"
"C1a-B1",-0.02,-0.0874,0.0475,0.9966,"ns"
"C1b1-B1",0.0544,-0.0179,0.1267,0.3397,"ns"
"C1b2-B1",0.0448,-0.0176,0.1072,0.4099,"ns"
"C2a-B1",0.0249,-0.0456,0.0953,0.9866,"ns"
"C2b1-B1",0.0288,-0.0417,0.0992,0.9617,"ns"
"C2b2-B1",0.0305,-0.0266,0.0876,0.8113,"ns"
"B2b-B2a",-0.0201,-0.0784,0.0382,0.9887,"ns"
"C1a-B2a",-0.0379,-0.1053,0.0296,0.7585,"ns"
"C1b1-B2a",0.0364,-0.0359,0.1088,0.8607,"ns"
"C1b2-B2a",0.0269,-0.0355,0.0893,0.9457,"ns"
"C2a-B2a",0.0069,-0.0635,0.0774,1,"ns"
"C2b1-B2a",0.0109,-0.0596,0.0813,1,"ns"
"C2b2-B2a",0.0125,-0.0445,0.0696,0.9997,"ns"
"C1a-B2b",-0.0178,-0.0797,0.0442,0.9974,"ns"
"C1b1-B2b",0.0566,-0.0107,0.1238,0.1891,"ns"
"C1b2-B2b",0.047,-0.0094,0.1034,0.2009,"ns"
"C2a-B2b",0.027,-0.0382,0.0923,0.9577,"ns"
"C2b1-B2b",0.031,-0.0343,0.0962,0.9006,"ns"
"C2b2-B2b",0.0327,-0.0178,0.0831,0.5708,"ns"
"C1b1-C1a",0.0743,-0.001,0.1496,0.0563,"ns"
"C1b2-C1a",0.0648,-0.0011,0.1306,0.0581,"ns"
"C2a-C1a",0.0448,-0.0287,0.1183,0.6567,"ns"
"C2b1-C1a",0.0487,-0.0248,0.1223,0.5338,"ns"
"C2b2-C1a",0.0504,-0.0104,0.1113,0.2059,"ns"
"C1b2-C1b1",-0.0096,-0.0804,0.0612,1,"ns"
"C2a-C1b1",-0.0295,-0.1075,0.0485,0.9776,"ns"
"C2b1-C1b1",-0.0256,-0.1036,0.0524,0.9923,"ns"
"C2b2-C1b1",-0.0239,-0.0901,0.0423,0.9841,"ns"
"C2a-C1b2",-0.0199,-0.0889,0.049,0.9972,"ns"
"C2b1-C1b2",-0.016,-0.0849,0.0529,0.9996,"ns"
"C2b2-C1b2",-0.0143,-0.0695,0.0408,0.9989,"ns"
"C2b1-C2a",0.0039,-0.0724,0.0802,1,"ns"
"C2b2-C2a",0.0056,-0.0585,0.0698,1,"ns"
"C2b2-C2b1",0.0017,-0.0625,0.0658,1,"ns"
